,0
0,TUU10101AA01005684            
1,TUU10101AA01006341            
2,TUU10101AA01008860            
3,TUU10101AA01009412            
4,TUU10101AA01010405            
5,TUU10101AA01011205            
6,TUU10101AA01012018            
7,TUU10101AA01012366            
8,TUU10101AA01012683            
9,TUU10101AA01013268            
10,TUU10101AA01013622            
11,TUU10101AA01013988            
12,TUU10101AA01014273            
13,TUU10101AA01014547            
14,TUU10101AA01015041            
15,TUU10101AA01015617            
16,TUU10101AA01015956            
17,TUU10101AA01016313            
18,TUU10101AA01016391            
